Tair,tr,RH,vel,clo,Met,thermal_sensation,thermal_preference,Âge,Sexe,cooling type,Building_type,Tout,clim,Season,lat,lon,TSV_3p,Climate
23.41,23.5482200000000,49.55,0.155333000000000,0.49,1.379,-1,-1,55.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,-1,BSh
21.73,22.0000620000000,54.05,0.102,0.35,1.628,2,-1,34.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,1,BSh
21.21,21.3122370000000,55.7,0.0670000000000000,0.94,1.203,0,0,40.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,0,BSh
21.46,21.5502480000000,55.62,0.0603330000000000,0.53,1.031,-1,0,27.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,-1,BSh
22.23,22.3277760000000,52.57,0.106,0.72,1.688,1,0,31.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,1,BSh
21.0266670000000,21.3169770000000,55.61,0.0946670000000000,0.33,1.031,0,0,24.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,0,BSh
20.9,21.0635560000000,56.49,0.0886670000000000,0.6,1.246,-1,1,22.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,-1,BSh
23.7266670000000,23.8890170000000,48.1,0.0716670000000000,0.41,1.246,1,0,46.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,1,BSh
23.8133330000000,24.1141430000000,47.67,0.129333000000000,0.57,1.031,2,1,48.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,1,BSh
23.4233330000000,23.4584000000000,49.75,0.048,0.91,1.031,1,-1,43.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,1,BSh
22.8833330000000,23.0049020000000,51.24,0.0720000000000000,0.73,1.396,0,0,57.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,0,BSh
22.21,22.4269190000000,52.27,0.0913330000000000,0.45,1.439,0,0,46.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,0,BSh
22.3633330000000,22.51701500000,52.65,0.331333000000000,0.59,1.375,1,0,46.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,1,BSh
22.4766670000000,22.582101000000,51.32,0.152667000000000,0.74,1.237,1,0,34.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,1,BSh
22.5966670000000,22.5342460000000,52.98,0.193333000000000,0.61,1.267,0,0,41.0,Female,Air Conditioned,Office,16.85,hot arid,Winter,-30.749,121.466,0,BSh
21.1666670000000,21.6283260000000,44.71,0.195333000000000,0.73,1.224,0,0,42.0,Female,Air Conditioned,Office,11.15,hot arid,Winter,-30.749,121.466,0,BSh
17.95,18.9242920000000,54.32,0.116,0.4,1.688,-1,0,24.0,Female,Air Conditioned,Office,11.15,hot arid,Winter,-30.749,121.466,-1,BSh
17.8966670000000,18.8762430000000,56.09,0.180667000000000,0.93,1.718,-1,1,31.0,Female,Air Conditioned,Office,11.15,hot arid,Winter,-30.749,121.466,-1,BSh
18.0433330000000,18.6236550000000,55.68,0.174333000000000,0.77,1.418,-1,1,42.0,Female,Air Conditioned,Office,11.15,hot arid,Winter,-30.749,121.466,-1,BSh
19.7466670000000,20.1100030000000,50.97,0.172,0.74,1.074,0,0,24.0,Female,Air Conditioned,Office,11.15,hot arid,Winter,-30.749,121.466,0,BSh
20.7833330000000,21.191182000000,48.27,0.100667000000000,0.46,1.658,1,0,28.0,Female,Air Conditioned,Office,11.15,hot arid,Winter,-30.749,121.466,1,BSh
20.75,21.0012790000000,47.82,0.109333000000000,0.33,1.117,-1,0,48.0,Female,Air Conditioned,Office,11.15,hot arid,Winter,-30.749,121.466,-1,BSh
22.8533330000000,23.1873070000000,48.89,0.059,0.8,1.246,2,0,49.0,Female,Air Conditioned,Office,11.15,hot arid,Winter,-30.749,121.466,1,BSh
23.1566670000000,23.5058870000000,45.23,0.086,0.53,1.031,2,-1,35.0,Female,Air Conditioned,Office,11.15,hot arid,Winter,-30.749,121.466,1,BSh
23.1533330000000,23.5798530000000,46.82,0.0696670000000000,0.56,1.568,2,-1,37.0,Female,Air Conditioned,Office,11.15,hot arid,Winter,-30.749,121.466,1,BSh
22.8366670000000,23.1476960000000,41.19,0.132333000000000,0.52,1.658,0,0,28.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,0,BSh
22.1366670000000,22.6167700000000,44.89,0.0956670000000000,1.13,1.203,-2,1,28.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,-1,BSh
22.0633330000000,22.5704930000000,45.4,0.115667000000000,0.71,1.031,0,0,26.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,0,BSh
22.1133330000000,22.6493630000000,44.53,0.141333000000000,1.1,1.546,2,0,26.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,1,BSh
22.3666670000000,22.8393910000000,44.51,0.112333000000000,0.87,1.387,1,0,23.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,1,BSh
22.3466670000000,22.5153230000000,42.96,0.108333000000000,0.88,1.203,0,0,34.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,0,BSh
22.2333330000000,22.2764600000000,43.24,0.198,0.53,1.418,2,0,44.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,1,BSh
22.6133330000000,23.0588480000000,41.78,0.081,0.53,1.418,0,0,32.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,0,BSh
23.4966670000000,23.6780230000000,40.97,0.105333000000000,0.73,1.516,1,-1,41.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,1,BSh
22.3866670000000,22.4943920000000,44.68,0.062,0.4,1.375,1,0,47.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,1,BSh
22.0266670000000,22.3513070000000,45.63,0.08,0.45,1.718,1,0,42.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,1,BSh
