Tair,RH,clo,Met,Tout,vel,tr,Âge,Climate,Season,Sexe,Building_type,cooling type,thermal_sensation,thermal_preference,TSV_3p
20.2,66.3,1.18,1.0,5.0,0.04,20.2,47.0,Csa,Winter,Male,Office,Naturally Ventilated,0,1.0,0.0
20.2,66.3,1.08,1.2,5.0,0.04,20.2,38.0,Csa,Winter,Female,Office,Naturally Ventilated,0,1.0,0.0
20.2,66.3,1.51,2.0,5.0,0.05,20.2,24.0,Csa,Winter,Female,Office,Naturally Ventilated,0,0.0,0.0
20.2,66.3,1.44,1.9,5.0,0.04,20.2,18.0,Csa,Winter,Female,Office,Naturally Ventilated,0,0.0,0.0
20.2,66.3,1.15,1.7,5.0,0.05,20.2,16.0,Csa,Winter,Male,Office,Naturally Ventilated,0,0.0,0.0
21.5,66.9,1.67,0.8,5.0,0.07,21.5,41.0,Csa,Winter,Male,Office,Naturally Ventilated,0,0.0,0.0
21.5,66.9,1.11,2.4,5.0,0.08,21.5,35.0,Csa,Winter,Female,Office,Naturally Ventilated,0,1.0,0.0
21.5,66.9,1.08,1.2,5.0,0.05,21.5,14.0,Csa,Winter,Female,Office,Naturally Ventilated,0,0.0,0.0
22.8,66.0,0.9,1.0,5.0,0.06,22.8,52.0,Csa,Winter,Male,Office,Naturally Ventilated,0,0.0,0.0
22.8,66.0,1.18,0.8,5.0,0.08,22.8,35.0,Csa,Winter,Male,Office,Naturally Ventilated,1,-1.0,1.0
22.8,66.0,1.11,1.6,5.0,0.07,22.8,40.0,Csa,Winter,Female,Office,Naturally Ventilated,0,0.0,0.0
22.8,66.0,1.08,1.9,5.0,0.05,22.8,17.0,Csa,Winter,Female,Office,Naturally Ventilated,1,-1.0,1.0
22.8,66.0,1.15,1.2,5.0,0.05,22.8,14.0,Csa,Winter,Male,Office,Naturally Ventilated,1,0.0,1.0
22.7,66.8,1.15,1.0,5.0,0.06,22.7,47.0,Csa,Winter,Male,Office,Naturally Ventilated,1,0.0,1.0
22.7,66.8,1.75,0.8,5.0,0.04,22.7,39.0,Csa,Winter,Female,Office,Naturally Ventilated,0,0.0,0.0
22.9,67.9,1.67,2.4,5.0,0.04,22.9,67.0,Csa,Winter,Male,Office,Naturally Ventilated,1,-1.0,1.0
22.9,67.9,1.7,1.6,5.0,0.03,22.9,44.0,Csa,Winter,Male,Office,Naturally Ventilated,1,0.0,1.0
22.9,67.9,1.41,1.0,5.0,0.03,22.9,16.0,Csa,Winter,Female,Office,Naturally Ventilated,0,0.0,0.0
21.0,73.4,1.15,0.8,5.0,0.04,21.0,49.0,Csa,Winter,Male,Office,Naturally Ventilated,0,0.0,0.0
21.0,73.4,1.18,1.3,5.0,0.03,21.0,38.0,Csa,Winter,Male,Office,Naturally Ventilated,0,0.0,0.0
22.3,69.9,0.9,1.6,5.0,0.02,22.3,48.0,Csa,Winter,Male,Office,Naturally Ventilated,0,0.0,0.0
22.3,69.9,1.11,0.8,5.0,0.01,22.3,40.0,Csa,Winter,Female,Office,Naturally Ventilated,0,0.0,0.0
22.3,69.9,1.51,1.0,5.0,0.02,22.3,20.0,Csa,Winter,Female,Office,Naturally Ventilated,0,0.0,0.0
22.3,69.9,1.48,1.2,5.0,0.03,22.3,15.0,Csa,Winter,Female,Office,Naturally Ventilated,1,0.0,1.0
22.3,69.9,1.15,1.9,5.0,0.04,22.3,16.0,Csa,Winter,Male,Office,Naturally Ventilated,0,0.0,0.0
22.5,68.6,1.7,1.0,5.0,0.05,22.5,43.0,Csa,Winter,Male,Office,Naturally Ventilated,0,0.0,0.0
22.5,68.6,1.75,1.6,5.0,0.02,22.5,38.0,Csa,Winter,Female,Office,Naturally Ventilated,1,0.0,1.0
22.5,68.6,1.78,1.2,5.0,0.02,22.5,17.0,Csa,Winter,Female,Office,Naturally Ventilated,1,0.0,1.0
22.5,68.6,1.15,1.2,5.0,0.01,22.5,14.0,Csa,Winter,Male,Office,Naturally Ventilated,1,0.0,1.0
18.9,59.1,1.67,2.0,5.0,0.01,18.9,49.0,Csa,Winter,Male,Office,Naturally Ventilated,0,1.0,0.0
18.9,59.1,1.7,1.9,5.0,0.01,18.9,19.0,Csa,Winter,Male,Office,Naturally Ventilated,0,0.0,0.0
18.9,59.1,1.75,0.8,5.0,0.02,18.9,15.0,Csa,Winter,Female,Office,Naturally Ventilated,0,0.0,0.0
20.6,68.9,1.67,1.0,5.0,0.02,20.6,55.0,Csa,Winter,Male,Office,Naturally Ventilated,0,1.0,0.0
20.6,68.9,1.08,2.0,5.0,0.04,20.6,48.0,Csa,Winter,Female,Office,Naturally Ventilated,0,1.0,0.0
20.6,68.9,1.18,0.8,5.0,0.05,20.6,18.0,Csa,Winter,Male,Office,Naturally Ventilated,0,1.0,0.0
20.6,68.9,0.9,1.6,5.0,0.05,20.6,17.0,Csa,Winter,Male,Office,Naturally Ventilated,0,1.0,0.0
20.4,71.0,1.18,1.2,5.0,0.02,20.4,45.0,Csa,Winter,Male,Office,Naturally Ventilated,0,1.0,0.0
20.4,71.0,1.08,2.0,5.0,0.02,20.4,40.0,Csa,Winter,Female,Office,Naturally Ventilated,0,1.0,0.0
20.4,71.0,1.15,2.8,5.0,0.03,20.4,20.0,Csa,Winter,Male,Office,Naturally Ventilated,0,1.0,0.0
20.4,71.0,1.48,1.2,5.0,0.02,20.4,17.0,Csa,Winter,Female,Office,Naturally Ventilated,0,1.0,0.0
20.4,71.0,1.67,1.2,5.0,0.01,20.4,18.0,Csa,Winter,Male,Office,Naturally Ventilated,0,1.0,0.0
19.5,63.8,1.7,2.4,5.0,0.01,19.5,52.0,Csa,Winter,Male,Office,Naturally Ventilated,0,1.0,0.0
19.5,63.8,1.51,1.9,5.0,0.01,19.5,47.0,Csa,Winter,Female,Office,Naturally Ventilated,0,0.0,0.0
19.5,63.8,1.44,1.0,5.0,0.02,19.5,23.0,Csa,Winter,Female,Office,Naturally Ventilated,0,1.0,0.0
19.5,63.8,1.67,1.6,5.0,0.03,19.5,17.0,Csa,Winter,Male,Office,Naturally Ventilated,0,1.0,0.0
19.5,63.8,1.11,2.4,5.0,0.01,19.5,14.0,Csa,Winter,Female,Office,Naturally Ventilated,0,1.0,0.0
19.7,62.1,1.18,2.0,5.0,0.02,19.7,43.0,Csa,Winter,Male,Office,Naturally Ventilated,0,1.0,0.0
19.7,62.1,1.15,1.2,5.0,0.02,19.7,67.0,Csa,Winter,Male,Office,Naturally Ventilated,0,1.0,0.0
19.7,62.1,1.51,0.8,5.0,0.04,19.7,39.0,Csa,Winter,Female,Office,Naturally Ventilated,0,1.0,0.0
19.7,62.1,1.73,2.4,5.0,0.02,19.7,18.0,Csa,Winter,Male,Office,Naturally Ventilated,0,1.0,0.0
19.7,62.1,1.67,1.0,5.0,0.02,19.7,16.0,Csa,Winter,Male,Office,Naturally Ventilated,0,1.0,0.0
