Tair,tr,RH,vel,clo,Met,thermal_sensation,thermal_preference,Âge,Sexe,cooling type,Building_type,Tout,clim,Season,lat,lon,TSV_3p,Climate,pmv,ppd,set,pet,pts_pet,pts_set,apmv,epmv,apts,epts
23.41,23.54822,49.55,0.155333,0.49,1.379,-1,-1,55.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,-1,BSh,-0.19,5.7,23.0,22.77,-0.0455620000000001,0.0,-0.19,-0.0,-1.9971093516582066,0.0
21.73,22.000062,54.05,0.102,0.35,1.628,2,-1,34.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,1,BSh,-0.27,6.5,20.6,22.3,-0.06878000000000006,0.0,-0.28,-0.0,-4.397109351658205,0.0
21.21,21.312237,55.7,0.067,0.94,1.203,0,0,40.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,0,BSh,-0.09,5.2,24.3,21.65,-0.10089000000000015,0.0,-0.09,-0.0,-0.6971093516582059,0.0
21.46,21.550248,55.62,0.060333,0.53,1.031,-1,0,27.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,-1,BSh,-1.43,47.3,20.8,20.97,-0.1344820000000002,0.0,-1.72,-0.0,-4.197109351658206,0.0
22.23,22.327776,52.57,0.106,0.72,1.688,1,0,31.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,1,BSh,0.48,9.8,25.1,23.1,-0.029260000000000064,0.0,0.45,0.0,0.10289064834179484,0.0
21.026667,21.316977,55.61,0.094667,0.33,1.031,0,0,24.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,0,BSh,,,18.7,20.13,-0.1759780000000002,0.0,,,-6.297109351658207,0.0
20.9,21.063556,56.49,0.088667,0.6,1.246,-1,1,22.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,-1,BSh,-0.7,15.4,21.4,20.67,-0.14930200000000005,0.0,-0.76,-0.0,-3.597109351658208,0.0
23.726667,23.889017,48.1,0.071667,0.41,1.246,1,0,46.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,1,BSh,-0.36,7.6,22.4,23.56,-0.006536000000000097,0.0,-0.38,-0.0,-2.597109351658208,0.0
23.813333,24.114143,47.67,0.129333,0.57,1.031,2,1,48.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,1,BSh,-0.64,13.6,23.5,22.67,-0.05050200000000005,0.0,-0.69,-0.0,-1.4971093516582066,0.0
23.423333,23.4584,49.75,0.048,0.91,1.031,1,-1,43.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,1,BSh,0.02,5.0,25.4,23.59,-0.005054000000000114,0.0,0.02,0.0,0.402890648341792,0.0
22.883333,23.004902,51.24,0.072,0.73,1.396,0,0,57.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,0,BSh,0.29,6.7,24.8,23.46,-0.011476000000000042,0.0,0.28,0.0,-0.19710935165820587,0.0
22.21,22.426919,52.27,0.091333,0.45,1.439,0,0,46.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,0,BSh,-0.28,6.6,21.7,22.36,-0.0658160000000001,0.0,-0.29,-0.0,-3.2971093516582073,0.0
22.363333,22.517015,52.65,0.331333,0.59,1.375,1,0,46.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,1,BSh,-0.54,11.2,22.7,20.86,-0.13991600000000015,0.0,-0.58,-0.0,-2.2971093516582073,0.0
22.476667,22.582101,51.32,0.152667,0.74,1.237,1,0,34.0,Female,Air Conditioned,Office,15.1,hot arid,Winter,-30.749,121.466,1,BSh,-0.21,6.0,24.0,21.81,-0.09298600000000024,0.0,-0.22,-0.0,-0.9971093516582066,0.0
22.596667,22.534246,52.98,0.193333,0.61,1.267,0,0,41.0,Female,Air Conditioned,Office,16.85,hot arid,Winter,-30.749,121.466,0,BSh,-0.47,9.6,23.0,21.55,-0.10583000000000009,0.0,-0.5,-0.0,-1.9971093516582066,0.0
21.166667,21.628326,44.71,0.195333,0.73,1.224,0,0,42.0,Female,Air Conditioned,Office,11.15,hot arid,Winter,-30.749,121.466,0,BSh,-0.69,15.1,22.7,19.77,-0.1937620000000001,0.0,-0.75,-0.0,-2.2971093516582073,0.0
17.95,18.924292,54.32,0.116,0.4,1.688,-1,0,24.0,Female,Air Conditioned,Office,11.15,hot arid,Winter,-30.749,121.466,-1,BSh,-0.91,22.4,17.9,18.33,-0.2648980000000002,0.0,-1.02,-0.0,-7.097109351658208,0.0
