Date,Âge,Sexe,cooling type,Building_type,Climate,Season,Tair,tr,Tout,vel,RH,clo,Met,thermal_sensation,thermal_preference,TSV_3p,lat,lon,Trm_ema_28,Tout_ema_28,RHout_ema_28,precip_ema_28,sunshine_ema_h_28,wind_ema_28,Trm_ema_14,Tout_ema_14,RHout_ema_14,precip_ema_14,sunshine_ema_h_14,wind_ema_14,Trm_ema_7,Tout_ema_7,RHout_ema_7,precip_ema_7,sunshine_ema_h_7,wind_ema_7
08-09-04,59,female,naturally ventilated,office,Cfb,summer,27.5,27.5,25.5,0.03,45.0,0.44,1.4,2,0.0,1.0,45.75,4.85,22.214405,22.214405,64.946577,1.77375,11.900198,8.859527,23.154298,23.154298,63.598554,0.781655,12.199992,9.489759,24.231585,24.231585,64.552904,0.869922,12.089005,8.933781
08-09-04,24,female,naturally ventilated,office,Cfb,summer,31.9,31.1,25.5,0.3,33.0,0.5,1.2,1,-1.0,1.0,45.75,4.85,22.214405,22.214405,64.946577,1.77375,11.900198,8.859527,23.154298,23.154298,63.598554,0.781655,12.199992,9.489759,24.231585,24.231585,64.552904,0.869922,12.089005,8.933781
08-09-04,26,male,naturally ventilated,office,Cfb,summer,31.7,31.5,25.5,0.28,33.0,0.4,1.2,2,-1.0,1.0,45.75,4.85,22.214405,22.214405,64.946577,1.77375,11.900198,8.859527,23.154298,23.154298,63.598554,0.781655,12.199992,9.489759,24.231585,24.231585,64.552904,0.869922,12.089005,8.933781
08-09-04,28,female,naturally ventilated,office,Cfb,summer,27.1,28.4,16.5,0.19,40.0,0.44,1.075,1,0.0,1.0,45.75,4.85,22.214405,22.214405,64.946577,1.77375,11.900198,8.859527,23.154298,23.154298,63.598554,0.781655,12.199992,9.489759,24.231585,24.231585,64.552904,0.869922,12.089005,8.933781
08-09-04,51,male,naturally ventilated,office,Cfb,summer,32.4,32.7,16.5,0.49,32.0,0.6,1.1,2,-1.0,1.0,45.75,4.85,22.214405,22.214405,64.946577,1.77375,11.900198,8.859527,23.154298,23.154298,63.598554,0.781655,12.199992,9.489759,24.231585,24.231585,64.552904,0.869922,12.089005,8.933781
08-09-04,27,male,naturally ventilated,office,Cfb,summer,32.2,32.7,16.5,0.34,33.0,0.38,1.4,2,0.0,1.0,45.75,4.85,22.214405,22.214405,64.946577,1.77375,11.900198,8.859527,23.154298,23.154298,63.598554,0.781655,12.199992,9.489759,24.231585,24.231585,64.552904,0.869922,12.089005,8.933781
08-09-04,23,male,naturally ventilated,office,Cfb,summer,27.5,29.0,16.8,0.18,39.0,0.6,1.4,1,0.0,1.0,45.75,4.85,22.214405,22.214405,64.946577,1.77375,11.900198,8.859527,23.154298,23.154298,63.598554,0.781655,12.199992,9.489759,24.231585,24.231585,64.552904,0.869922,12.089005,8.933781
08-09-04,43,female,naturally ventilated,office,Cfb,summer,28.5,29.4,25.4,0.07,38.0,0.49,1.25,1,-1.0,1.0,45.75,4.85,22.214405,22.214405,64.946577,1.77375,11.900198,8.859527,23.154298,23.154298,63.598554,0.781655,12.199992,9.489759,24.231585,24.231585,64.552904,0.869922,12.089005,8.933781
08-09-04,49,female,naturally ventilated,office,Cfb,summer,27.3,28.7,25.4,0.36,37.0,0.5,1.05,1,-1.0,1.0,45.75,4.85,22.214405,22.214405,64.946577,1.77375,11.900198,8.859527,23.154298,23.154298,63.598554,0.781655,12.199992,9.489759,24.231585,24.231585,64.552904,0.869922,12.089005,8.933781
08-09-04,39,female,naturally ventilated,office,Cfb,summer,30.0,29.3,25.4,0.03,39.0,0.51,1.075,3,-1.0,1.0,45.75,4.85,22.214405,22.214405,64.946577,1.77375,11.900198,8.859527,23.154298,23.154298,63.598554,0.781655,12.199992,9.489759,24.231585,24.231585,64.552904,0.869922,12.089005,8.933781
08-09-04,26,female,naturally ventilated,office,Cfb,summer,28.7,29.2,25.4,0.24,37.0,0.4,1.1,1,-1.0,1.0,45.75,4.85,22.214405,22.214405,64.946577,1.77375,11.900198,8.859527,23.154298,23.154298,63.598554,0.781655,12.199992,9.489759,24.231585,24.231585,64.552904,0.869922,12.089005,8.933781
08-09-04,25,male,naturally ventilated,office,Cfb,summer,30.1,30.6,23.1,0.36,35.0,0.5,1.2,2,-1.0,1.0,45.75,4.85,22.214405,22.214405,64.946577,1.77375,11.900198,8.859527,23.154298,23.154298,63.598554,0.781655,12.199992,9.489759,24.231585,24.231585,64.552904,0.869922,12.089005,8.933781
08-09-04,47,female,naturally ventilated,office,Cfb,summer,31.5,31.7,24.7,0.12,34.0,0.5,1.175,2,-1.0,1.0,45.75,4.85,22.214405,22.214405,64.946577,1.77375,11.900198,8.859527,23.154298,23.154298,63.598554,0.781655,12.199992,9.489759,24.231585,24.231585,64.552904,0.869922,12.089005,8.933781
08-09-04,31,female,naturally ventilated,office,Cfb,summer,32.3,33.1,24.7,0.3,34.0,0.46,1.2,2,-1.0,1.0,45.75,4.85,22.214405,22.214405,64.946577,1.77375,11.900198,8.859527,23.154298,23.154298,63.598554,0.781655,12.199992,9.489759,24.231585,24.231585,64.552904,0.869922,12.089005,8.933781
08-10-04,24,female,naturally ventilated,office,Cfb,summer,25.3,26.8,24.7,0.07,62.0,0.44,1.2,0,0.0,0.0,45.75,4.85,22.578834,22.578834,63.338728,1.036307,12.508081,9.472431,23.472593,23.472593,61.904144,0.690768,12.256742,9.924664,24.100896,24.100896,64.455,1.478345,11.514366,9.241475
08-10-04,26,male,naturally ventilated,office,Cfb,summer,25.7,26.1,24.7,0.12,59.0,0.47,1.2,-1,1.0,-1.0,45.75,4.85,22.578834,22.578834,63.338728,1.036307,12.508081,9.472431,23.472593,23.472593,61.904144,0.690768,12.256742,9.924664,24.100896,24.100896,64.455,1.478345,11.514366,9.241475
08-10-04,28,female,naturally ventilated,office,Cfb,summer,25.0,27.1,24.7,0.14,62.0,0.43,1.15,0,0.0,0.0,45.75,4.85,22.578834,22.578834,63.338728,1.036307,12.508081,9.472431,23.472593,23.472593,61.904144,0.690768,12.256742,9.924664,24.100896,24.100896,64.455,1.478345,11.514366,9.241475
08-10-04,51,male,naturally ventilated,office,Cfb,summer,25.7,28.1,24.7,0.46,63.0,0.6,1.2,0,0.0,0.0,45.75,4.85,22.578834,22.578834,63.338728,1.036307,12.508081,9.472431,23.472593,23.472593,61.904144,0.690768,12.256742,9.924664,24.100896,24.100896,64.455,1.478345,11.514366,9.241475
08-10-04,27,male,naturally ventilated,office,Cfb,summer,25.1,27.7,26.6,0.31,65.0,0.51,1.3,0,0.0,0.0,45.75,4.85,22.578834,22.578834,63.338728,1.036307,12.508081,9.472431,23.472593,23.472593,61.904144,0.690768,12.256742,9.924664,24.100896,24.100896,64.455,1.478345,11.514366,9.241475
08-10-04,23,male,naturally ventilated,office,Cfb,summer,28.0,28.8,26.6,0.05,57.0,0.66,1.5,0,0.0,0.0,45.75,4.85,22.578834,22.578834,63.338728,1.036307,12.508081,9.472431,23.472593,23.472593,61.904144,0.690768,12.256742,9.924664,24.100896,24.100896,64.455,1.478345,11.514366,9.241475
08-10-04,43,female,naturally ventilated,office,Cfb,summer,27.9,28.7,26.6,0.38,55.0,0.44,1.125,1,-1.0,1.0,45.75,4.85,22.578834,22.578834,63.338728,1.036307,12.508081,9.472431,23.472593,23.472593,61.904144,0.690768,12.256742,9.924664,24.100896,24.100896,64.455,1.478345,11.514366,9.241475
08-10-04,49,female,naturally ventilated,office,Cfb,summer,29.2,29.8,27.0,0.42,52.0,0.5,1.05,3,-1.0,1.0,45.75,4.85,22.578834,22.578834,63.338728,1.036307,12.508081,9.472431,23.472593,23.472593,61.904144,0.690768,12.256742,9.924664,24.100896,24.100896,64.455,1.478345,11.514366,9.241475
08-10-04,39,female,naturally ventilated,office,Cfb,summer,29.0,29.2,27.0,0.05,54.0,0.49,1.2,2,-1.0,1.0,45.75,4.85,22.578834,22.578834,63.338728,1.036307,12.508081,9.472431,23.472593,23.472593,61.904144,0.690768,12.256742,9.924664,24.100896,24.100896,64.455,1.478345,11.514366,9.241475
08-10-04,26,female,naturally ventilated,office,Cfb,summer,27.2,27.6,27.0,0.16,58.0,0.41,1.2,0,0.0,0.0,45.75,4.85,22.578834,22.578834,63.338728,1.036307,12.508081,9.472431,23.472593,23.472593,61.904144,0.690768,12.256742,9.924664,24.100896,24.100896,64.455,1.478345,11.514366,9.241475
08-10-04,25,male,naturally ventilated,office,Cfb,summer,29.0,29.3,27.0,0.43,54.0,0.58,1.2,0,0.0,0.0,45.75,4.85,22.578834,22.578834,63.338728,1.036307,12.508081,9.472431,23.472593,23.472593,61.904144,0.690768,12.256742,9.924664,24.100896,24.100896,64.455,1.478345,11.514366,9.241475
08-10-04,30,male,naturally ventilated,office,Cfb,summer,29.7,30.2,27.0,0.32,50.0,0.68,1.2,2,-1.0,1.0,45.75,4.85,22.578834,22.578834,63.338728,1.036307,12.508081,9.472431,23.472593,23.472593,61.904144,0.690768,12.256742,9.924664,24.100896,24.100896,64.455,1.478345,11.514366,9.241475
