Tair,tr,RH,vel,clo,Met,Âge,Sexe,Tout,Season,cooling type,Building_type,top,tg,PMV,SET,thermal_sensation,thermal_preference,Climate,Koppen climate classification,City,Country,TSV_3p
20.2,,66.3,0.04,1.18,1.0,47.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.2,,66.3,0.04,1.08,1.2,38.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.2,,66.3,0.05,1.51,2.0,24.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.2,,66.3,0.04,1.44,1.9,18.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.2,,66.3,0.05,1.15,1.7,16.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.5,,66.9,0.07,1.67,0.8,41.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.5,,66.9,0.08,1.11,2.4,35.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.5,,66.9,0.05,1.08,1.2,14.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
22.8,,66.0,0.06,0.9,1.0,52.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
22.8,,66.0,0.08,1.18,0.8,35.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,1,-1,Hot-summer Mediterranean,Csa,Ilam,Iran,1
22.8,,66.0,0.07,1.11,1.6,40.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
22.8,,66.0,0.05,1.08,1.9,17.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,1,-1,Hot-summer Mediterranean,Csa,Ilam,Iran,1
22.8,,66.0,0.05,1.15,1.2,14.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,1,0,Hot-summer Mediterranean,Csa,Ilam,Iran,1
22.7,,66.8,0.06,1.15,1.0,47.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,1,0,Hot-summer Mediterranean,Csa,Ilam,Iran,1
22.7,,66.8,0.04,1.75,0.8,39.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
22.9,,67.9,0.04,1.67,2.4,67.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,1,-1,Hot-summer Mediterranean,Csa,Ilam,Iran,1
22.9,,67.9,0.03,1.7,1.6,44.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,1,0,Hot-summer Mediterranean,Csa,Ilam,Iran,1
22.9,,67.9,0.03,1.41,1.0,16.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.0,,73.4,0.04,1.15,0.8,49.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
21.0,,73.4,0.03,1.18,1.3,38.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
22.3,,69.9,0.02,0.9,1.6,48.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
22.3,,69.9,0.01,1.11,0.8,40.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
22.3,,69.9,0.02,1.51,1.0,20.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
22.3,,69.9,0.03,1.48,1.2,15.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,1,0,Hot-summer Mediterranean,Csa,Ilam,Iran,1
22.3,,69.9,0.04,1.15,1.9,16.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
22.5,,68.6,0.05,1.7,1.0,43.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
22.5,,68.6,0.02,1.75,1.6,38.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,1,0,Hot-summer Mediterranean,Csa,Ilam,Iran,1
22.5,,68.6,0.02,1.78,1.2,17.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,1,0,Hot-summer Mediterranean,Csa,Ilam,Iran,1
22.5,,68.6,0.01,1.15,1.2,14.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,1,0,Hot-summer Mediterranean,Csa,Ilam,Iran,1
18.9,,59.1,0.01,1.67,2.0,49.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
18.9,,59.1,0.01,1.7,1.9,19.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
18.9,,59.1,0.02,1.75,0.8,15.0,Female,5.0,Winter,Naturally Ventilated,Office,,,,,0,0,Hot-summer Mediterranean,Csa,Ilam,Iran,0
20.6,,68.9,0.02,1.67,1.0,55.0,Male,5.0,Winter,Naturally Ventilated,Office,,,,,0,1,Hot-summer Mediterranean,Csa,Ilam,Iran,0
