Date,Âge,Sexe,cooling type,Building_type,Climate,Season,Tair,tr,Tout,vel,RH,clo,Met,thermal_sensation,thermal_preference,TSV_3p,lat,lon
08-09-04,59,Female,Naturally Ventilated,Office,Cfb,Summer,27.5,27.5,25.5,0.03,45.0,0.44,1.4,2,0.0,1.0,45.750000,4.850000
08-09-04,24,Female,Naturally Ventilated,Office,Cfb,Summer,31.9,31.1,25.5,0.3,33.0,0.5,1.2,1,-1.0,1.0,45.750000,4.850000
08-09-04,26,Male,Naturally Ventilated,Office,Cfb,Summer,31.7,31.5,25.5,0.28,33.0,0.4,1.2,2,-1.0,1.0,45.750000,4.850000
08-09-04,28,Female,Naturally Ventilated,Office,Cfb,Summer,27.1,28.4,16.5,0.19,40.0,0.44,1.075,1,0.0,1.0,45.750000,4.850000
08-09-04,51,Male,Naturally Ventilated,Office,Cfb,Summer,32.4,32.7,16.5,0.49,32.0,0.6,1.1,2,-1.0,1.0,45.750000,4.850000
08-09-04,27,Male,Naturally Ventilated,Office,Cfb,Summer,32.2,32.7,16.5,0.34,33.0,0.38,1.4,2,0.0,1.0,45.750000,4.850000
08-09-04,23,Male,Naturally Ventilated,Office,Cfb,Summer,27.5,29.0,16.8,0.18,39.0,0.6,1.4,1,0.0,1.0,45.750000,4.850000
08-09-04,43,Female,Naturally Ventilated,Office,Cfb,Summer,28.5,29.4,25.4,0.07,38.0,0.49,1.25,1,-1.0,1.0,45.750000,4.850000
08-09-04,49,Female,Naturally Ventilated,Office,Cfb,Summer,27.3,28.7,25.4,0.36,37.0,0.5,1.05,1,-1.0,1.0,45.750000,4.850000
08-09-04,39,Female,Naturally Ventilated,Office,Cfb,Summer,30.0,29.3,25.4,0.03,39.0,0.51,1.075,3,-1.0,1.0,45.750000,4.850000
08-09-04,26,Female,Naturally Ventilated,Office,Cfb,Summer,28.7,29.2,25.4,0.24,37.0,0.4,1.1,1,-1.0,1.0,45.750000,4.850000
08-09-04,25,Male,Naturally Ventilated,Office,Cfb,Summer,30.1,30.6,23.1,0.36,35.0,0.5,1.2,2,-1.0,1.0,45.750000,4.850000
08-09-04,47,Female,Naturally Ventilated,Office,Cfb,Summer,31.5,31.7,24.7,0.12,34.0,0.5,1.175,2,-1.0,1.0,45.750000,4.850000
08-09-04,31,Female,Naturally Ventilated,Office,Cfb,Summer,32.3,33.1,24.7,0.3,34.0,0.46,1.2,2,-1.0,1.0,45.750000,4.850000
08-10-04,24,Female,Naturally Ventilated,Office,Cfb,Summer,25.3,26.8,24.7,0.07,62.0,0.44,1.2,0,0.0,0.0,45.750000,4.850000
08-10-04,26,Male,Naturally Ventilated,Office,Cfb,Summer,25.7,26.1,24.7,0.12,59.0,0.47,1.2,-1,1.0,-1.0,45.750000,4.850000
08-10-04,28,Female,Naturally Ventilated,Office,Cfb,Summer,25.0,27.1,24.7,0.14,62.0,0.43,1.15,0,0.0,0.0,45.750000,4.850000
08-10-04,51,Male,Naturally Ventilated,Office,Cfb,Summer,25.7,28.1,24.7,0.46,63.0,0.6,1.2,0,0.0,0.0,45.750000,4.850000
08-10-04,27,Male,Naturally Ventilated,Office,Cfb,Summer,25.1,27.7,26.6,0.31,65.0,0.51,1.3,0,0.0,0.0,45.750000,4.850000
08-10-04,23,Male,Naturally Ventilated,Office,Cfb,Summer,28.0,28.8,26.6,0.05,57.0,0.66,1.5,0,0.0,0.0,45.750000,4.850000
08-10-04,43,Female,Naturally Ventilated,Office,Cfb,Summer,27.9,28.7,26.6,0.38,55.0,0.44,1.125,1,-1.0,1.0,45.750000,4.850000
08-10-04,49,Female,Naturally Ventilated,Office,Cfb,Summer,29.2,29.8,27.0,0.42,52.0,0.5,1.05,3,-1.0,1.0,45.750000,4.850000
08-10-04,39,Female,Naturally Ventilated,Office,Cfb,Summer,29.0,29.2,27.0,0.05,54.0,0.49,1.2,2,-1.0,1.0,45.750000,4.850000
08-10-04,26,Female,Naturally Ventilated,Office,Cfb,Summer,27.2,27.6,27.0,0.16,58.0,0.41,1.2,0,0.0,0.0,45.750000,4.850000
08-10-04,25,Male,Naturally Ventilated,Office,Cfb,Summer,29.0,29.3,27.0,0.43,54.0,0.58,1.2,0,0.0,0.0,45.750000,4.850000
08-10-04,30,Male,Naturally Ventilated,Office,Cfb,Summer,29.7,30.2,27.0,0.32,50.0,0.68,1.2,2,-1.0,1.0,45.750000,4.850000
08-10-04,47,Female,Naturally Ventilated,Office,Cfb,Summer,29.6,29.6,27.7,0.38,48.0,0.5,1.15,2,-1.0,1.0,45.750000,4.850000
08-10-04,30,Female,Naturally Ventilated,Office,Cfb,Summer,31.9,32.4,27.7,0.29,48.0,0.67,1.2,2,-1.0,1.0,45.750000,4.850000
08-10-04,31,Female,Naturally Ventilated,Office,Cfb,Summer,31.1,32.4,27.7,0.1,49.0,0.5,1.0,1,-1.0,1.0,45.750000,4.850000
08-10-04,45,Male,Naturally Ventilated,Office,Cfb,Summer,29.2,29.8,28.1,0.1,49.0,0.5,1.25,2,-1.0,1.0,45.750000,4.850000
08-11-04,50,Female,Naturally Ventilated,Office,Cfb,Summer,26.6,28.4,28.1,0.09,59.0,0.44,1.275,0,0.0,0.0,45.750000,4.850000
08-11-04,59,Female,Naturally Ventilated,Office,Cfb,Summer,28.4,28.0,28.1,0.03,52.0,0.43,1.4,2,-1.0,1.0,45.750000,4.850000
08-11-04,26,Male,Naturally Ventilated,Office,Cfb,Summer,28.6,29.1,25.2,0.08,48.0,0.44,1.2,1,-1.0,1.0,45.750000,4.850000
08-11-04,28,Female,Naturally Ventilated,Office,Cfb,Summer,29.0,29.6,25.2,0.1,47.0,0.46,1.325,1,-1.0,1.0,45.750000,4.850000
08-11-04,51,Male,Naturally Ventilated,Office,Cfb,Summer,29.5,30.1,25.5,0.49,46.0,0.66,1.2,2,-1.0,1.0,45.750000,4.850000
08-11-04,27,Male,Naturally Ventilated,Office,Cfb,Summer,29.9,30.4,25.5,0.33,47.0,0.51,1.3,1,0.0,1.0,45.750000,4.850000
08-11-04,23,Male,Naturally Ventilated,Office,Cfb,Summer,28.3,29.6,25.5,0.29,43.0,0.7,1.15,1,-1.0,1.0,45.750000,4.850000
08-11-04,49,Female,Naturally Ventilated,Office,Cfb,Summer,27.9,29.3,25.5,0.38,53.0,0.5,1.2,1,-1.0,1.0,45.750000,4.850000
08-11-04,39,Female,Naturally Ventilated,Office,Cfb,Summer,26.9,26.6,21.8,0.05,56.0,0.46,1.2,0,0.0,0.0,45.750000,4.850000
08-11-04,25,Male,Naturally Ventilated,Office,Cfb,Summer,29.4,30.0,23.2,0.38,44.0,0.53,1.075,0,0.0,0.0,45.750000,4.850000
08-11-04,30,Male,Naturally Ventilated,Office,Cfb,Summer,29.1,29.4,23.2,0.39,49.0,0.69,1.1,1,-1.0,1.0,45.750000,4.850000
08-11-04,47,Female,Naturally Ventilated,Office,Cfb,Summer,29.7,30.3,23.2,0.39,43.0,0.5,1.15,1,-1.0,1.0,45.750000,4.850000
08-11-04,31,Female,Naturally Ventilated,Office,Cfb,Summer,29.8,30.4,24.7,0.04,47.0,0.5,1.1,0,0.0,0.0,45.750000,4.850000
08-11-04,30,Female,Naturally Ventilated,Office,Cfb,Summer,29.6,30.7,24.7,0.1,48.0,0.46,1.2,3,-1.0,1.0,45.750000,4.850000
08-11-04,45,Male,Naturally Ventilated,Office,Cfb,Summer,30.1,31.4,29.3,0.12,44.0,0.55,1.2,2,-1.0,1.0,45.750000,4.850000
08-12-04,50,Female,Naturally Ventilated,Office,Cfb,Summer,28.3,27.4,29.7,0.49,43.0,0.46,1.325,1,-1.0,1.0,45.750000,4.850000
08-12-04,59,Female,Naturally Ventilated,Office,Cfb,Summer,27.3,27.8,29.7,0.21,46.0,0.45,1.4,3,-1.0,1.0,45.750000,4.850000
08-12-04,24,Female,Naturally Ventilated,Office,Cfb,Summer,26.9,27.6,29.9,0.1,46.0,0.52,1.3,1,-1.0,1.0,45.750000,4.850000
08-12-04,26,Male,Naturally Ventilated,Office,Cfb,Summer,27.3,26.9,29.9,0.13,44.0,0.45,1.2,0,0.0,0.0,45.750000,4.850000
08-12-04,28,Female,Naturally Ventilated,Office,Cfb,Summer,27.5,27.2,29.9,0.05,53.0,0.46,1.275,1,-1.0,1.0,45.750000,4.850000
08-12-04,51,Male,Naturally Ventilated,Office,Cfb,Summer,29.2,30.1,29.9,0.45,42.0,0.6,1.4,0,-1.0,0.0,45.750000,4.850000
08-12-04,27,Male,Naturally Ventilated,Office,Cfb,Summer,29.4,30.4,22.7,0.25,42.0,0.51,1.3,0,0.0,0.0,45.750000,4.850000
08-12-04,23,Male,Naturally Ventilated,Office,Cfb,Summer,23.7,26.6,22.7,0.53,58.0,0.68,1.4,-1,1.0,-1.0,45.750000,4.850000
08-12-04,43,Female,Naturally Ventilated,Office,Cfb,Summer,29.1,30.7,22.7,0.05,49.0,0.44,1.4,2,-1.0,1.0,45.750000,4.850000
08-12-04,49,Female,Naturally Ventilated,Office,Cfb,Summer,25.1,26.0,22.7,0.39,60.0,0.46,1.05,1,-1.0,1.0,45.750000,4.850000
08-12-04,26,Female,Naturally Ventilated,Office,Cfb,Summer,29.2,29.0,22.2,0.11,42.0,0.4,1.25,1,0.0,1.0,45.750000,4.850000
08-12-04,25,Male,Naturally Ventilated,Office,Cfb,Summer,30.5,30.8,22.2,0.38,41.0,0.6,1.2,2,-1.0,1.0,45.750000,4.850000
08-12-04,30,Male,Naturally Ventilated,Office,Cfb,Summer,29.9,30.6,22.2,0.28,44.0,0.57,1.3,1,-1.0,1.0,45.750000,4.850000
08-12-04,47,Female,Naturally Ventilated,Office,Cfb,Summer,29.4,29.7,22.2,0.4,42.0,0.46,1.075,1,-1.0,1.0,45.750000,4.850000
08-12-04,31,Female,Naturally Ventilated,Office,Cfb,Summer,30.6,30.8,22.2,0.27,40.0,0.46,1.1,0,-1.0,0.0,45.750000,4.850000
08-12-04,30,Female,Naturally Ventilated,Office,Cfb,Summer,30.1,30.3,25.0,0.12,43.0,0.43,1.1,3,-1.0,1.0,45.750000,4.850000
08-12-04,45,Male,Naturally Ventilated,Office,Cfb,Summer,30.6,30.8,26.3,0.27,40.0,0.55,1.15,1,-1.0,1.0,45.750000,4.850000
08-13-04,59,Female,Naturally Ventilated,Office,Cfb,Summer,25.4,25.4,27.4,0.13,44.0,0.45,1.4,2,0.0,1.0,45.750000,4.850000
08-13-04,24,Female,Naturally Ventilated,Office,Cfb,Summer,27.9,28.1,27.4,0.04,38.0,0.44,1.2,1,-1.0,1.0,45.750000,4.850000
08-13-04,26,Male,Naturally Ventilated,Office,Cfb,Summer,27.9,28.1,27.4,0.04,38.0,0.55,1.2,2,-1.0,1.0,45.750000,4.850000
08-13-04,28,Female,Naturally Ventilated,Office,Cfb,Summer,26.7,27.7,27.4,0.05,53.0,0.5,1.15,1,0.0,1.0,45.750000,4.850000
08-13-04,51,Male,Naturally Ventilated,Office,Cfb,Summer,28.6,29.7,21.6,0.06,39.0,0.6,1.2,2,-1.0,1.0,45.750000,4.850000
08-13-04,27,Male,Naturally Ventilated,Office,Cfb,Summer,28.6,29.7,21.6,0.06,39.0,0.51,1.2,2,0.0,1.0,45.750000,4.850000
08-13-04,43,Female,Naturally Ventilated,Office,Cfb,Summer,28.5,29.4,21.6,0.07,38.0,0.45,1.3,1,-1.0,1.0,45.750000,4.850000
08-13-04,49,Female,Naturally Ventilated,Office,Cfb,Summer,27.3,28.7,21.6,0.36,37.0,0.5,1.15,1,-1.0,1.0,45.750000,4.850000
08-13-04,39,Female,Naturally Ventilated,Office,Cfb,Summer,28.5,29.4,23.0,0.07,38.0,0.56,1.5,3,-1.0,1.0,45.750000,4.850000
08-13-04,26,Female,Naturally Ventilated,Office,Cfb,Summer,29.2,29.0,23.0,0.11,42.0,0.4,1.175,1,-1.0,1.0,45.750000,4.850000
08-13-04,25,Male,Naturally Ventilated,Office,Cfb,Summer,28.8,29.3,25.9,0.33,33.0,0.57,1.2,2,-1.0,1.0,45.750000,4.850000
08-13-04,47,Female,Naturally Ventilated,Office,Cfb,Summer,28.3,27.5,26.6,0.31,34.0,0.5,1.0,2,-1.0,1.0,45.750000,4.850000
08-13-04,31,Female,Naturally Ventilated,Office,Cfb,Summer,30.0,31.0,26.6,0.27,33.0,0.46,1.125,2,-1.0,1.0,45.750000,4.850000
09-10-04,40,Female,Naturally Ventilated,Office,Cfb,Summer,28.1,28.6,26.9,0.04,35.0,0.55,1.0,3,-1.0,1.0,45.750000,4.850000
09-10-04,40,Female,Naturally Ventilated,Office,Cfb,Summer,27.6,27.4,26.9,0.24,34.0,0.48,1.2,0,0.0,0.0,45.750000,4.850000
09-10-04,51,Female,Naturally Ventilated,Office,Cfb,Summer,26.8,27.3,26.9,0.06,36.0,0.47,1.375,1,-1.0,1.0,45.750000,4.850000
09-10-04,45,Male,Naturally Ventilated,Office,Cfb,Summer,26.4,26.0,27.1,0.12,36.0,0.66,1.2,1,-1.0,1.0,45.750000,4.850000
09-10-04,51,Male,Naturally Ventilated,Office,Cfb,Summer,26.7,27.1,27.1,0.19,35.0,0.59,1.25,1,-1.0,1.0,45.750000,4.850000
09-10-04,31,Female,Naturally Ventilated,Office,Cfb,Summer,26.3,25.8,22.2,0.04,39.0,0.56,1.15,0,0.0,0.0,45.750000,4.850000
09-10-04,35,Male,Naturally Ventilated,Office,Cfb,Summer,26.4,25.9,23.6,0.07,37.0,0.65,1.3,1,0.0,1.0,45.750000,4.850000
09-10-04,52,Female,Naturally Ventilated,Office,Cfb,Summer,27.9,28.1,23.6,0.22,33.0,0.5,1.2,3,-1.0,1.0,45.750000,4.850000
09-10-04,54,Female,Naturally Ventilated,Office,Cfb,Summer,28.4,28.6,23.6,0.1,33.0,0.47,1.45,2,0.0,1.0,45.750000,4.850000
09-10-04,33,Male,Naturally Ventilated,Office,Cfb,Summer,28.3,27.9,23.6,0.09,33.0,0.57,1.125,2,0.0,1.0,45.750000,4.850000
09-10-04,57,Female,Naturally Ventilated,Office,Cfb,Summer,28.7,28.7,25.1,0.04,36.0,0.6,1.2,3,-1.0,1.0,45.750000,4.850000
09-13-04,40,Female,Naturally Ventilated,Office,Cfb,Summer,26.1,26.6,25.1,0.04,43.0,0.5,1.275,0,0.0,0.0,45.750000,4.850000
