block,key,target,metric,expected,tol
phase1,Haghirad_NotOpt_NoCW,thermal_sensation,accuracy,0.594,
phase1,Haghirad_NotOpt_NoCW,thermal_sensation,qwk,0.54,
phase1,Haghirad_NotOpt_NoCW,thermal_sensation,f1_macro,0.385,
phase1,Haghirad_NotOpt_NoCW,thermal_sensation,wilson_low,0.577,
phase1,Haghirad_NotOpt_NoCW,thermal_sensation,wilson_high,0.61,
phase2,RandomForest,thermal_sensation,accuracy,0.516,
phase2,RandomForest,thermal_sensation,qwk,0.625,
phase2,RandomForest,thermal_sensation,f1_macro,0.432,
phase2,RandomForest,thermal_sensation,wilson_low,0.498,
phase2,RandomForest,thermal_sensation,wilson_high,0.534,
phase2,XGBoost,thermal_sensation,accuracy,0.516,
phase2,XGBoost,thermal_sensation,qwk,0.64,
phase2,XGBoost,thermal_sensation,f1_macro,0.434,
phase2,XGBoost,thermal_sensation,wilson_low,0.498,
phase2,XGBoost,thermal_sensation,wilson_high,0.533,
phase2,SVM,thermal_sensation,accuracy,0.495,
phase2,SVM,thermal_sensation,qwk,0.578,
phase2,SVM,thermal_sensation,f1_macro,0.389,
phase2,SVM,thermal_sensation,wilson_low,0.477,
phase2,SVM,thermal_sensation,wilson_high,0.513,
phase2,ANN,thermal_sensation,accuracy,0.478,
phase2,ANN,thermal_sensation,qwk,0.566,
phase2,ANN,thermal_sensation,f1_macro,0.349,
phase2,ANN,thermal_sensation,wilson_low,0.46,
phase2,ANN,thermal_sensation,wilson_high,0.495,
phase2,FTTransformer,thermal_sensation,accuracy,0.457,
phase2,FTTransformer,thermal_sensation,qwk,0.59,
phase2,FTTransformer,thermal_sensation,f1_macro,0.405,
phase2,FTTransformer,thermal_sensation,wilson_low,0.439,
phase2,FTTransformer,thermal_sensation,wilson_high,0.475,
phase2_hybrid,RF,thermal_sensation,accuracy,0.462,
phase2_hybrid,RF,thermal_sensation,qwk,0.592,
phase2_hybrid,RF,thermal_sensation,f1_macro,0.405,
phase2_hybrid,RF,thermal_sensation,wilson_low,0.444,
phase2_hybrid,RF,thermal_sensation,wilson_high,0.479,
phase2_hybrid,XGB,thermal_sensation,accuracy,0.451,
phase2_hybrid,XGB,thermal_sensation,qwk,0.582,
phase2_hybrid,XGB,thermal_sensation,f1_macro,0.398,
phase2_hybrid,XGB,thermal_sensation,wilson_low,0.433,
phase2_hybrid,XGB,thermal_sensation,wilson_high,0.468,
baseline,pmv,thermal_sensation,accuracy,0.265,
baseline,apmv,thermal_sensation,accuracy,0.269,
baseline,epmv,thermal_sensation,accuracy,0.344,
baseline,pts_set,thermal_sensation,accuracy,0.372,
baseline,pts_pet,thermal_sensation,accuracy,0.425,
baseline,apts,thermal_sensation,accuracy,0.143,
baseline,epts,thermal_sensation,accuracy,0.372,
phase3_direct,Moujalled:RF,thermal_sensation,accuracy,0.315,
phase3_direct,Moujalled:RF,thermal_sensation,qwk,0.024,
phase3_direct,Moujalled:RF,thermal_sensation,f1_macro,0.11,
phase3_direct,Moujalled:RF,thermal_sensation,wilson_low,0.26,
phase3_direct,Moujalled:RF,thermal_sensation,wilson_high,0.375,
phase3_direct,Moujalled:XGB,thermal_sensation,accuracy,0.39,
phase3_direct,Moujalled:XGB,thermal_sensation,qwk,0.242,
phase3_direct,Moujalled:XGB,thermal_sensation,f1_macro,0.177,
phase3_direct,Moujalled:XGB,thermal_sensation,wilson_low,0.332,
phase3_direct,Moujalled:XGB,thermal_sensation,wilson_high,0.452,
phase3_direct,Moujalled:FTTransformer,thermal_sensation,accuracy,0.303,
phase3_direct,Moujalled:FTTransformer,thermal_sensation,qwk,0.229,
phase3_direct,Moujalled:FTTransformer,thermal_sensation,f1_macro,0.162,
phase3_direct,Moujalled:FTTransformer,thermal_sensation,wilson_low,0.249,
phase3_direct,Moujalled:FTTransformer,thermal_sensation,wilson_high,0.362,
phase3_adaptive,Moujalled:B_finetune_80-20:RF_adapt,thermal_sensation,accuracy,0.569,
phase3_adaptive,Moujalled:B_finetune_80-20:RF_adapt,thermal_sensation,qwk,0.545,
phase3_adaptive,Moujalled:B_finetune_80-20:RF_adapt,thermal_sensation,f1_macro,0.366,
phase3_adaptive,Moujalled:B_finetune_80-20:RF_adapt,thermal_sensation,wilson_low,0.433,
phase3_adaptive,Moujalled:B_finetune_80-20:RF_adapt,thermal_sensation,wilson_high,0.695,
phase3_adaptive,Moujalled:B_finetune_80-20:XGB_adapt,thermal_sensation,accuracy,0.51,
phase3_adaptive,Moujalled:B_finetune_80-20:XGB_adapt,thermal_sensation,qwk,0.597,
phase3_adaptive,Moujalled:B_finetune_80-20:XGB_adapt,thermal_sensation,f1_macro,0.411,
phase3_adaptive,Moujalled:B_finetune_80-20:XGB_adapt,thermal_sensation,wilson_low,0.377,
phase3_adaptive,Moujalled:B_finetune_80-20:XGB_adapt,thermal_sensation,wilson_high,0.641,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_head,thermal_sensation,accuracy,0.49,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_head,thermal_sensation,qwk,0.541,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_head,thermal_sensation,f1_macro,0.319,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_head,thermal_sensation,wilson_low,0.359,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_head,thermal_sensation,wilson_high,0.623,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_full,thermal_sensation,accuracy,0.51,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_full,thermal_sensation,qwk,0.561,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_full,thermal_sensation,f1_macro,0.333,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_full,thermal_sensation,wilson_low,0.377,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_full,thermal_sensation,wilson_high,0.641,
phase3_adaptive,Moujalled:B_finetune_20-80:RF_adapt,thermal_sensation,accuracy,0.458,
